adj_num,vb_num,n_num
3,2,7
6,3,9
2,0,1
1,1,2
1,0,1
3,3,8
4,1,8
3,1,3
2,0,2
8,1,5
7,5,14
0,0,1
0,0,6
6,4,8
14,7,25
3,0,6
4,2,8
15,4,24
26,8,42
4,2,8
2,0,2
4,2,7
1,1,1
2,0,1
3,1,8
5,4,17
0,1,0
6,3,4
2,0,4
1,0,1
1,0,4
3,0,4
18,3,21
0,0,2
6,3,16
4,0,5
1,0,0
3,1,3
3,1,2
8,3,14
0,1,4
13,2,26
1,1,4
2,0,6
0,1,1
8,2,10
10,6,33
1,0,0
9,4,10
5,1,3
6,3,11
0,0,2
20,7,36
1,1,1
10,6,20
11,4,12
0,0,1
8,4,9
2,0,4
6,0,7
2,0,3
0,0,1
6,0,7
1,0,1
6,4,16
10,1,16
11,6,16
2,0,2
3,0,2
2,1,4
5,0,3
7,8,19
1,0,0
2,1,0
1,0,1
2,1,4
24,6,26
1,1,2
1,0,0
5,1,5
0,0,2
5,1,13
6,0,3
2,1,2
7,2,11
2,2,9
1,0,1
3,0,3
5,4,10
10,6,22
7,4,18
1,2,7
10,5,19
2,0,2
3,3,12
0,1,1
4,0,8
1,1,5
5,2,3
2,0,1
7,3,14
8,0,11
4,0,4
1,0,0
5,1,5
2,2,6
0,0,1
3,0,5
4,2,4
9,7,18
11,3,15
0,0,0
1,1,2
18,7,40
0,0,1
0,0,1
18,15,52
17,10,34
12,5,15
2,0,1
2,2,10
7,3,4
0,1,3
2,2,13
4,0,1
26,12,39
5,4,7
2,0,4
3,4,4
7,1,5
9,4,14
1,0,0
1,4,5
10,3,8
0,0,3
5,2,15
1,0,3
15,9,33
4,0,5
2,1,4
0,1,3
9,17,28
3,0,6
2,0,3
7,2,7
5,5,13
7,3,10
1,1,1
14,2,14
5,0,5
0,0,2
3,2,5
3,1,8
1,0,0
0,0,3
63,39,190
3,1,5
0,0,2
6,0,2
1,0,0
3,1,2
6,4,6
24,15,50
1,0,1
1,0,1
2,0,2
1,0,2
5,7,16
0,1,2
8,6,32
2,0,1
2,1,3
0,1,2
3,1,4
9,4,17
2,0,1
5,1,4
0,1,0
1,0,2
5,0,5
4,1,10
2,1,4
12,10,44
1,0,1
41,25,73
0,1,0
3,0,1
6,2,4
1,0,1
1,1,1
1,0,2
3,1,3
8,6,13
5,2,8
2,2,7
5,2,13
36,12,44
1,0,1
2,1,6
1,1,3
2,1,5
2,1,4
3,2,6
5,1,10
6,2,10
5,1,5
5,2,13
1,0,0
1,0,0
0,0,1
8,1,12
1,1,2
1,3,8
0,1,0
1,0,2
0,1,2
8,6,25
6,1,11
1,1,4
1,1,3
5,3,11
6,1,10
5,3,9
2,2,5
1,0,0
4,1,2
3,4,13
5,0,9
1,0,2
6,4,20
5,0,2
3,0,3
7,2,9
3,0,4
3,0,4
5,2,9
1,1,3
3,1,3
0,1,4
5,3,8
5,7,16
3,2,5
3,1,8
2,0,1
2,0,3
8,2,12
0,1,3
4,1,8
3,0,2
1,2,5
14,9,53
3,2,7
0,0,0
1,0,7
4,1,5
3,0,2
1,0,3
0,1,1
1,1,2
0,2,6
11,9,25
2,1,1
2,0,0
4,2,6
3,1,8
3,1,8
6,3,5
20,13,41
2,3,5
1,0,5
5,0,6
4,1,3
3,2,6
7,2,13
3,0,5
3,1,3
5,1,12
0,0,2
9,14,32
22,13,34
0,0,2
9,3,14
0,1,9
2,0,5
6,5,18
12,9,27
2,0,2
5,4,10
1,1,2
2,0,2
4,5,25
3,2,3
13,4,36
11,3,13
18,4,18
3,0,3
1,0,2
2,0,2
2,1,4
0,0,1
4,1,3
1,1,6
1,0,0
3,1,9
0,0,2
5,2,6
2,1,5
1,0,2
1,0,0
4,1,6
5,0,5
7,1,5
3,0,8
3,0,3
2,0,2
1,1,1
2,1,1
6,2,4
0,0,0
29,15,53
3,0,2
0,1,1
6,1,7
5,1,2
1,1,2
7,1,5
5,2,15
13,7,19
4,1,8
2,0,2
10,5,13
3,4,16
4,1,10
1,0,2
2,1,4
8,3,14
1,0,2
2,1,4
2,0,4
4,0,4
7,2,8
1,1,2
4,4,11
2,1,5
5,4,18
1,0,1
4,2,8
3,1,6
8,2,10
4,2,8
2,1,4
2,0,3
7,1,9
1,0,1
3,1,7
15,7,25
6,2,11
3,0,4
3,2,2
4,4,8
2,0,2
9,2,8
2,0,10
5,3,18
3,0,3
2,0,7
6,2,11
1,0,0
2,0,1
6,2,14
1,1,2
1,1,4
0,1,2
2,0,1
3,3,13
2,2,1
2,1,11
0,1,5
2,0,1
1,1,0
1,1,3
8,2,17
1,0,3
11,4,15
25,12,41
30,7,38
6,3,13
1,0,2
0,0,1
2,1,7
4,2,7
4,2,4
19,9,22
1,1,2
6,2,8
23,12,60
4,0,7
8,3,15
0,1,2
4,2,3
2,1,4
5,0,5
3,2,11
0,1,2
3,0,6
3,2,2
3,0,2
7,5,12
14,10,27
4,1,4
20,8,27
2,0,3
2,0,6
3,0,7
3,2,7
6,2,7
