"","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","sentiscore","coscore","weight","wreview"
"10006","US",30719073,"R3LCWWNLEKLPYP","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"N","Y","Remington D-2012 Hair Dryer","A bit heavier than most and cost a little more but but it is a whole bunch better than the cheaper ones.  Definitely a good product","1/25/2011",0.485362671697076,3.28328122460198,0.850107139212952,0.412610272317156
"10056","US",19116298,"R9FDT3MPEHH1D","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"N","Y","Love this hair dryer!","I was in desperate need of a new hair dryer. I read several different reviews on Amazon.com and decided to go with the Remington D-2012. I am very happy with my decision! I have been using the hair dyer now for a few weeks now and have definitely noticed a difference in my hair. The dryer leaves my hair feeling really soft and super shiny.  It would be great if it was a little lighter (weight-wise) but I would not say it is heavy at all.","1/2/2011",0.75104094428999,3.42028452456468,0.850107139212952,0.638465268582157
"10159","US",38624848,"R2PTCG7HEQCXYF","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"N","N","I Will Never Use Another Hair Dryer!!","I gave this hair dryer to my mom last Christmas. It is the best I have ever used. I don't even use my hair dryer anymore because I love this dryer so much! It dries my hair in what feels like 1 minute. It has three heat settings instead of two, which is nice. This is probably better than the hair dryer my hair dresser uses in her salon! I highly recommend this!!!","11/7/2010",0.739830037811716,2.21443144209693,0.850107139212952,0.628934796947928
"10190","US",33795232,"R28QE8AROVIOHZ","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",4,0,0,"N","Y","Great dryer","This dryer is quiet & effective, especially for the price. I'm very happy with it!","10/11/2010",0.71443450831176,2.79480905679441,0.850107139212952,0.607345876015922
"10233","US",45822238,"R3HHMEZVELXRV3","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",3,0,0,"N","Y","Ok","This hairdryer is ok.  I like some aspects of it such as being able to adjust the heat and air level, but I don't think that this dries my hair any faster than the other cheaper hair dryer that I have.  I also feel the weight on my arms that other reviewers were discussing.  I am not sure that it has had any effect on the level of shine or frizz in my hair although being able to adjust the level of heat and air has probably helped in terms of being able to prevent heat damage.  I think it is an ok hair dryer but I would not buy it again. I did not return it mostly because of the hassle of repackaging and sending it back.","9/9/2010",0.370809924354783,1.30421576175198,0.850107139212952,0.315228163985016
"10475","US",16041952,"R1K0TYQ1GGYWGL","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,4,4,"N","N","AMAZING DRYER! Quick & Quiet!","When my old Remington dryer that is 7 years old broke I started looking for a replacement, needless to say I ended up returning 4 dryers before I found this one. I loved my old dryer because it was so quiet, I can't stand the dryers that have a high pitched whining noise. So I called Remington & they told me this was the quietest dryer they make (they measure by decibels & this dryer had the lowest). So I bought it & it is super quiet, the motor doesn't really give off any noise the only sound you hear is the airflow. And the airflow on this dryer is super strong, its much stronger than my last dryer so it does dry your hair pretty quick. I am very pleased with this product. It comes with a 4 year warranty too. The hot setting is hot but its nice because it doesn't get hot enough wear it feels like its burning your scalp. I actually bought mine at walmart online for $27, it was such a great deal! I highly recommend this dryer, its great.","5/11/2010",0.891834612416234,2.26728953710468,0.855872249243223,0.76329649568164
"10697","US",18087723,"R2SD61ZO664TWD","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",3,0,0,"Y","N","Good but not WOW","I've been using this hair dryer for over 3 months now. I wanted to wait to give any reviews till I used this for awhile and I must say that it hasn't scored any points for length of use. I thought maybe if I continued to use it, my hair would improve from being dry, but it hasn't.<br /><br />This dryer has a low and high speed setting, and low, medium and hot heat settings. The low setting dryed my hair as fast as a cheaper dryer and the high speed setting is probably enough to even dry clothes rather quickly! It packs a punch! After using all three heat settings, I found that medium works best although hot doesn't get as hot as most other dryers I've tried and those tend to actually burn the hair. There's also a cool shot feature that works great if you're using the hot setting and want an instant cool down.<br /><br />The attachments are an Airflow diffuser and an Airflow concentrator. Both of these work well if you either want a wide spread airflow or a concentrated one. The concentrated one works good if you're using either a brush or curlers and want the air concentrated on that particular spot. The wide spread one is simply if you want a wider area of airflow, such as if you have really long hair.<br /><br />I thought that the tourmaline feature would make it somehow better for my hair, but I haven't noticed any improvement over other standard (and less expensive) hair dryers. This is my biggest dissapointment with this one and why I waited over 3 months to submit a review.<br /><br />On the plus side, the filter hasn't clogged yet or gotten any hair in it at all! This is amazing, since with other dryers I've used, it didn't take long at all before hair would start gathering in the filter. This one also has a removable filter, but as of yet I haven't needed to clean it.<br /><br />This is also heavier than most dryers, so if you have weak arms or otherwise have trouble holding something rather heavy for the length of time that it would take to dry your hair, this one probably isn't for you. However, if you want to do something a little extra to help build muscle in your arms, this will do it! It weighs under a pound, but compared to other dryers, it weighs about 1/3 more on average. This is also quieter than most dryers I've used. More time will tell on how durable it is, but the way this is constructed, I have no doubts that it will last a long time.<br /><br />I'm giving this 3 stars due to the good features it has, but for the cost of the money and the seemingly better for your hair impressions that it seems it should have, it didn't score there. It remains just above average.you. However, if you want to do something a little extra to help build muscle in your arms, this will do it! It weighs under a pound, but compared to other dryers, it weighs about 1/3 more on average. This is also quieter than most dryers I've used. More time will tell on how durable it is, but the way this is constructed, I have no doubts that it will last a long time.     I'm giving this 3 stars due to the good features it has, but for the cost of the money and the seemingly better for your hair impressions that it seems it should have, it didn't score there. It remains just above average.","10/15/2009",0.995684149615255,1.51319459298315,0.850107139212952,0.846438203989105
"10768","US",22837130,"R2DFL90XZMSHU3","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",4,0,0,"Y","N","love it...but pricey","I have very, very curly hair that I get straightened, and also recently had a Brazilian keratin treatment done, too. I'm tell you all this because the keratin treatment is supposed to significantly reduce the drying time of your hair, and it does. So, while I did notice a shorter drying time with this dryer than with my other ones, it wasn't a really valid measure of how much better and faster it was, because any dryer is pretty fast for me now.    I decided to use the dryer on my daughter's long, thick, wavy hair. The unit got to be a bit heavy - it wasn't noticeable for my hair because it was such a short drying time (7 minutes?) but not as bad as many other full sized dryers that I've used. This one is a smaller unit, but it is loud. It did successfully dry my daughter's long hair in 1/3-1/2 the usual time. And, her hair was shinier and softer than with a regular dryer. I am assuming that's from the tourmaline and/or ceramic as we used the same conditioner's we've always used.    So, overall I'm pleased but I think the price tag is a bit much for a fairly heavy and loud dryer.","6/26/2009",0.635998728003816,2.75436178712324,0.850107139212952,0.5406670592064
"10770","US",51812735,"R29WQP9Q8IHT2K","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"Y","N","This is a great quality Remington product.","You will notice the quality of this product as soon as its out of the package.  The plastic is thick and has some give to it, not like that cheap stuff that is hard and brittle.  The motor is very tolerable.  I would say it is quieter than most I've used.  I like the three speeds as well as the three temps.  That is so much better than just having one temp and a slower speed.  It still has a cold shot to freeze your hair when you've got it where you want it.  Great product!","6/25/2009",0.629056602621994,3.35738040677895,0.850107139212952,0.534765508858002
"10779","US",51800663,"R1E4CAJB9XNA5G","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"Y","N","Solid, reliable","The Remington D-2012 is a solid, reliable hair dryer.  The controls are easy to access and use.  The hot is really hot and the cool is really cool.  There is a noticeable difference between the heat levels and between the intensity levels.  It's a good size, and not too heavy.  It's easy to clean.  The attachments fit well.<br /><br />My only quibbles are that the finish shows every single fingerprint, and there are plenty after you've added your mousse or styling gel.  And I would love a retractable cord.  Try as I might, I can never wind up the cord into a tidy compact mass.","6/18/2009",1.16691993198316,2.35726458084159,0.850107139212952,0.992006965068777
"10790","US",51743062,"R3N7H12J7PDAD4","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"Y","N","Perfect size and weight","Definitely a great dryer. Nice and lightweight yet very powerful with various heat settings. Most professional hair dryers are large and very heavy so your arm tires while drying your hair but this one is smaller and easier on the arm. Would recommend.","5/28/2009",0.612862922306825,3.34902975160468,0.850107139212952,0.520999145611945
"10791","US",20864402,"R19T75RM4DVDB7","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"Y","N","Great hair dryer for the money","While only moderately useful for drying my short hair, I loaned this to my fiance to check it out and she said it was great! She used to have a very expensive hair dryer and said that this one worked just as well. Of course, everyone's hair is different but the important thing is that the temperature is good and with the optional diffuser attachment, there are more options depending on your hair style. Male or Female, this is a great product at a good price and the quality seems very good at this price point as well.","5/28/2009",1.17857142857143,2.36116123082438,0.850107139212952,1.00191198550098
"10792","US",49444429,"RH36N0MUYDXN2","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"Y","N","Terrific hair dryer!","This Remington hair dryer really is a terrific hair dryer. I've been using it for about a month now and my hair has never looked better. It has three heat settings and two speeds. I use the lowest speed unless I'm in a big hurry.  I do the same with the heat settings because all of them are great for drying my hair.  It is a heavy hair dryer, but that does not matter to me. I never dreamed it would work this well.  After drying my hair and then using the flat iron, my hair is frizz free and shiny. I love it!","5/27/2009",0.447213595499958,3.26360874902269,0.850107139212952,0.380179470287608
"10794","US",18469006,"R20YNRRGT4XD0Y","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,0,0,"Y","N","excellent, powerful action","We've been using this hair dryer for a few weeks now on a constant basis.  Overall, this is a powerful blower that gets your hair dry quickly with excellent balance of heat.  No hot spots that cheapo dryers can develop.  Yes, it is on the heavy and bulky side but that's because of the quality construction.  I have no doubt this dryer will continue to last for years to come.","5/26/2009",0.380319414627832,3.22911317872882,0.850107139212952,0.323312249556411
"10795","US",42783992,"R1D74RQNGB9SYF","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",4,0,0,"Y","N","Great hair dryer but a bit on the heavy side","When I got this hair dryer for my wife, she was impressed by the quality of the packaging and the hair dryer. Once she used it, she was further impressed by its power and how fast it dried her hair.  This hair dryer is amazingly quiet even with all of its power, unlike others that she has used in the past.  It comes with various options such as three heat settings, a diffuser, and a Cool Shot button that provides a quick blow of air for a final styling touch.   The only reason it gets four stars is because of its weight.","5/24/2009",0.270632938682637,1.6641147375122,0.850107139212952,0.230066993280291
"10797","US",15044966,"RVR37XFEY2NFC","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",4,0,1,"Y","N","excellent hair dyer","I got this for my girl.  some comments are mine, some are hers.  It dries really quickly.  This takes about half of the time that I am used to.  It is surprising quiet for a hair dryer.  you could easily use this without completely pissing off roommates if a few doors are closed.  The best hair Dryer I've used. I have not used any of the attachments, so I may add that info when I find out.  Not much else to say other than I really like this.  Glad I have it, I would recommend this to a friend.","5/19/2009",0.229166666666667,1.649488208153,0.841690236844507,0.192887345943533
"10800","US",49642495,"R10RGBKRLKZ4JU","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",4,1,1,"Y","N","Calms the frizz...","I was very interested in trying this dryer; it features all the current blow dryer buzzwords - tourmaline, titanium and ceramic - all or severely guaranteed to calm the frizz for people with hair like mine.    My hair is thick, with a wave, and it absolutely mushrooms after blowdrying or in high humidity. It takes forever to dry my hair, so naturally your weary arms tick up the heat factor to get it DRY already, and that in turn ups the frizz factor.    I must say, I was impressed. The dryer features several heat and style settings, so to give an honest portrayal of the results, I kept the heat on the equivalent settings as my usual blow dryer. Then, after a while when my arms would usually get tired, I increased the volume setting.    Unfortunately, with this blow dryer, I wasn't faking the exhaustion in my arms. This isn't the heaviest blow dryer I've ever used, but it's up there! If there was such a thing as getting muscled from using blow dryers, I'd be Ahnold already. I wasn't faking it when I reached the point in the blow drying when my arms were saying, Enough already!    The dryer is more than enough power to accomplish the job. What was interesting was after my hair was dry, it really WAS less frizzy than the same routine done with my usual blower dryer.    The second time I tried it, it was raining out and about a billion percent humidity, the perfect laboratory for determining if all the tourmaline/titanium/ceramic add-ons actually worked to keep hair smooth.    It kind of did. What I can say was my hair frizzed, but it frizzed LESS, and it was much shinier than I've ever seen my hair in humid weather. I guess that's an endorsement, but not enough of one where one might forgo a flat iron to flatten out the kinks.     The dryer comes with a diffuser, which I've always found to be WAY too much work and time (if your arms hurt with regular blow drying, you'll be crippled when you're done using a diffuser on thick hair!)    If you're in the market for a blow dryer, and you have a problem with the frizzes, you might want to give the Remington serious consideration. It did a nice job for me, but the gold standard - not having to use a flat iron - remains elusive, even with this dryer.","5/14/2009",0.776785714285714,2.8276612321263,0.851591226943517,0.661503899500767
"10801","US",32228920,"REH0I3CJMQH8N","B001LF4G7G",236392593,"remington d-2012 salon quality ceramic hair dryer with professional ac motor and tourmaline","Beauty",5,1,1,"Y","N","My wife rates this as excellent, with only on CON--that there isn't one lower setting for the fan.","My wife (who doesn't speak / write English by the way, hense not writing this herself) especially likes the attachments and overall quality of this dryer, the three heat settings which provide just the right range, as well as the no heat / blow only setting.<br /><br />But she says the blower is far too strong and wonders why it doesn't provide a lower setting than hurricane strength.  I can only guess that this is because if the heat setting is on high there has to be a minimum amount of fan strength to keep the unit from catching fire.<br /><br />I imagine that a professional hair stylist has the advantage of being able to hold the dryer some distance away from a customer's head and that's why it's so hot and blows so strong, but of course someone using it on themselves doesn't have that advantage.<br /><br />Ceramic is nice, as well as the ion emissions.<br /><br />BOTTOM LINE: Despite complaining about the strength of the fan, she already tossed her old dryer and uses this one because it is a professional level item.  I imagine she'll get used to the fan strength.","5/14/2009",0.940748118505645,2.2821744138109,0.851591226943517,0.801132844483027
